ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
241,0,Senegal ,0,-17.0028,14.7289,1307.63,1988-09-02,1988-09-02,News,4,2400,Heavy rain,1.0
1008,0,Senegal,0,-15.0548,15.8268,47808.22,1995-09-24,1995-10-08,News,0,0,Heavy rain,1.0
1866,0,Senegal,0,-14.6405,15.5553,62705.79,2002-01-09,2002-01-12,News,28,80000,Heavy rain,1.0
2316,0,Senegal,Mauritania,-12.9402,15.9392,586302.53,2003-08-09,2003-11-05,News,10,5300,Heavy rain,1.0
2729,0,Senegal,0,-17.3737,14.7558,333.207,2005-08-20,2005-09-10,News,0,5600,Heavy rain,1.0
3180,FL-2007-000131-SEN,Senegal,,-13.9678,15.4745,167997.63,2007-08-31,2007-09-20,News,1,0,Heavy rain,1.0
3531,FL-2009-000164-SEN,Senegal,0,-16.8108,14.5762,8510.69,2009-08-24,2009-08-26,0,0,0,Heavy Rain,1.0
3971,,Senegal,,-15.4943,14.462,79242.7,2012-08-24,2012-08-29,News,4,1200,Torrential Rain,1.5
4808,,Senegal,,-15.5163,15.5202,60942.37,2019-09-10,2019-09-20,FloodList,0,4500,Heavy Rain,1.0
